rank,class,scene_frequency,pct_of_scenes
5026,wallmountfan,1,0.01
5027,mailcubby,1,0.01
5028,emptypot,1,0.01
5029,privacyscreen,1,0.01
5030,paperracks,1,0.01
5031,boxofstuff,1,0.01
5032,armofchair,1,0.01
5033,outsidebackwall,1,0.01
5034,outsidebeam,1,0.01
5035,outsideglasstiles,1,0.01
5036,alarmbutton,1,0.01
5037,leatherloveseat,1,0.01
5038,sofasingleseater,1,0.01
5039,leathersingleseaterchair,1,0.01
5040,cappuccinomachine,1,0.01
5041,coffeegrounds,1,0.01
5042,watermachine,1,0.01
5043,cleaningdish,1,0.01
5044,outsideceiling,1,0.01
5045,cleaningliquid,1,0.01
5046,dustboxes,1,0.01
5047,paper[ile,1,0.01
5048,applebox,1,0.01
5049,pinkcup,1,0.01
5050,bluemarker,1,0.01
5051,paperbundel,1,0.01
5052,whitecup,1,0.01
5053,umberla,1,0.01
5054,personalcomputer,1,0.01
5055,greenmarker,1,0.01
5056,pale,1,0.01
5057,deliverymailbasket,1,0.01
5058,staple,1,0.01
5059,sculpturehead,1,0.01
5060,guardrage,1,0.01
5061,filescabinets,1,0.01
5062,ladders,1,0.01
5063,leggos,1,0.01
5064,legocharacter,1,0.01
5065,receptiondesk,1,0.01
5066,longtablet,1,0.01
5067,planemarble,1,0.01
5068,smallpaterpaste,1,0.01
5069,stonehead,1,0.01
5070,yellowbricks,1,0.01
5071,bluetape,1,0.01
5072,chairhandle,1,0.01
5073,tornlabelonbackofchair,1,0.01
5074,chaircover,1,0.01
5075,yellowfillingcabinet,1,0.01
5076,foamcup,1,0.01
5077,dellmonitor,1,0.01
5078,stickynotepad,1,0.01
5079,sidecart,1,0.01
5080,tennisbag,1,0.01
5081,organizers,1,0.01
5082,fileshelfholder,1,0.01
5083,tapestry?wallornament,1,0.01
5084,modernartsculpture?,1,0.01
5085,unknown(sculpture?),1,0.01
5086,chairwithwheels,1,0.01
5087,leaftoy,1,0.01
5088,exsit,1,0.01
5089,papersonboard,1,0.01
5090,hallwaydoor,1,0.01
5091,exstentioncord,1,0.01
5092,poastitbard,1,0.01
5093,papersondoor,1,0.01
5094,glassindoor,1,0.01
5095,door'swindow,1,0.01
5096,posterondoor,1,0.01
5097,thermostatonwall,1,0.01
5098,bookholders,1,0.01
5099,eraserboard,1,0.01
5100,bigblackpictureframe,1,0.01
5101,floorsign,1,0.01
5102,recordsbox,1,0.01
5103,yellowwall,1,0.01
5104,areaforawindow,1,0.01
5105,filingcabnet,1,0.01
5106,receptionwindow,1,0.01
5107,palitheenpaper,1,0.01
5108,copboard,1,0.01
5109,colorpaper,1,0.01
5110,paperclip,1,0.01
5111,lockerpanel,1,0.01
5112,fileroom,1,0.01
5113,dooraccess,1,0.01
5114,roomnumber/name,1,0.01
5115,recyclebin/trash,1,0.01
5116,cartone,1,0.01
5117,keyholelock,1,0.01
5118,doormolding,1,0.01
5119,smallcabinet,1,0.01
5120,alternatedoor,1,0.01
5121,pinpad,1,0.01
5122,displaypane,1,0.01
5123,chairsstacked,1,0.01
5124,recyclebasket,1,0.01
5125,anotherwall,1,0.01
5126,abox,1,0.01
5127,connecter,1,0.01
5128,computerplug,1,0.01
5129,plywoodsectional,1,0.01
5130,pendrive,1,0.01
5131,imageonwall,1,0.01
5132,moiter3n,1,0.01
5133,largeprinter,1,0.01
5134,randompowercords,1,0.01
5135,metalcupboard,1,0.01
5136,stabilizer,1,0.01
5137,electricmeshine,1,0.01
5138,computerparts,1,0.01
5139,computercord,1,0.01
5140,lampcord,1,0.01
5141,handrail/grillgate,1,0.01
5142,orangemat,1,0.01
5143,refrigerater,1,0.01
5144,greymat,1,0.01
5145,sissors,1,0.01
5146,vanillaenvelope,1,0.01
5147,tapedispencer,1,0.01
5148,officemailbox,1,0.01
5149,systemacessories,1,0.01
5150,wallcam,1,0.01
5151,wallmountedlamp,1,0.01
5152,cubbords,1,0.01
5153,doryar,1,0.01
5154,desktopcomputertower,1,0.01
5155,backdrop,1,0.01
5156,industrialworklight,1,0.01
5157,manuel,1,0.01
5158,buildingmaterials,1,0.01
5159,blackcrate,1,0.01
5160,powecord,1,0.01
5161,m,1,0.01
5162,clipping,1,0.01
5163,x-ray,1,0.01
5164,present,1,0.01
5165,paperchain,1,0.01
5166,degree,1,0.01
5167,doornob,1,0.01
5168,paperrool,1,0.01
5169,calanter,1,0.01
5170,wallalbum,1,0.01
5171,draiyar,1,0.01
5172,messofpapers,1,0.01
5173,messofpictures(indistinctborders),1,0.01
5174,cabinetpossibly,1,0.01
5175,standingcabinet,1,0.01
5176,blurryobject(cabinet?),1,0.01
5177,counter/cabinets,1,0.01
5178,severalpictures(indistinctborders,1,0.01
5179,unsure,1,0.01
5180,penstant,1,0.01
5181,electricoutlets,1,0.01
5182,baseket,1,0.01
5183,strippedwall,1,0.01
5184,-,1,0.01
5185,opendoor,1,0.01
5186,insidewall,1,0.01
5187,walldecorcurtain,1,0.01
5188,walldecoritem,1,0.01
5189,systemmonitor,1,0.01
5190,bsket,1,0.01
5191,boobks,1,0.01
5192,storagelocker,1,0.01
5193,filecabinethandle,1,0.01
5194,filecabinehandle,1,0.01
5195,junctionbox,1,0.01
5196,farwall,1,0.01
5197,dropbox,1,0.01
5198,walledge,1,0.01
5199,printertable,1,0.01
5200,peeps,1,0.01
5201,babygate,1,0.01
5202,tupperwarebin,1,0.01
5203,partitioningwall,1,0.01
5204,rollingcontainer,1,0.01
5205,plasticcrates,1,0.01
5206,recylcingbin,1,0.01
5207,filingcabnets,1,0.01
5208,topofwall,1,0.01
5209,officedrawer,1,0.01
5210,doorhanel,1,0.01
5211,crest,1,0.01
5212,browncarpetfloor,1,0.01
5213,greywall,1,0.01
5214,electricalport,1,0.01
5215,spaceundersink,1,0.01
5216,electronicsslot,1,0.01
5217,fusepanel,1,0.01
5218,pinocchio,1,0.01
5219,holders,1,0.01
5220,cupboardwithsshelves,1,0.01
5221,flooroutlit,1,0.01
5222,lightswitchespanel,1,0.01
5223,woodplank,1,0.01
5224,woodpanels,1,0.01
5225,benchrack,1,0.01
5226,flushtap,1,0.01
5227,bathroomcabinet,1,0.01
5228,smallpurse,1,0.01
5229,jewlerybox,1,0.01
5230,heatvent,1,0.01
5231,rollingchari,1,0.01
5232,flyswatter,1,0.01
5233,sidedresser,1,0.01
5234,colander,1,0.01
5235,deepfrier,1,0.01
5236,watermellon,1,0.01
5237,smallbowl,1,0.01
5238,freezerhandle,1,0.01
5239,cleaningproduct,1,0.01
5240,icemakerkeypad,1,0.01
5241,cabinetknob,1,0.01
5242,hardwordfloor,1,0.01
5243,mixingbowl,1,0.01
5244,faulcet,1,0.01
5245,bottlebrush,1,0.01
5246,dishwasherkeypad,1,0.01
5247,barner,1,0.01
5248,bean,1,0.01
5249,shoestand,1,0.01
5250,kbat,1,0.01
5251,babystroller,1,0.01
5252,toyteapot,1,0.01
5253,plasticicecreamcone,1,0.01
5254,cheppal,1,0.01
5255,fireplacetoolset,1,0.01
5256,leftfloor,1,0.01
5257,rightwoodfloor,1,0.01
5258,pod,1,0.01
5259,wallbottomwoodaork,1,0.01
5260,entrancewoodwork,1,0.01
5261,broomstick,1,0.01
5262,crocks,1,0.01
5263,wallmoundaedthings,1,0.01
5264,bluecloth,1,0.01
5265,weightlift,1,0.01
5266,wallconnection,1,0.01
5267,plantshelf,1,0.01
5268,toysuitcase,1,0.01
5269,exerciseball,1,0.01
5270,balconyledge,1,0.01
5271,painting(bottom),1,0.01
5272,glidingchair,1,0.01
5273,peacesign,1,0.01
5274,showermat,1,0.01
5275,flash,1,0.01
5276,make-upbag,1,0.01
5277,ponytailholder,1,0.01
5278,tiletubsides,1,0.01
5279,make-up,1,0.01
5280,jettedtub,1,0.01
5281,cowgirlhat,1,0.01
5282,toiletrybag,1,0.01
5283,hairgel,1,0.01
5284,plasticdrawer,1,0.01
5285,cosmeticbag,1,0.01
5286,vanitytop-counter,1,0.01
5287,toiletrolltube,1,0.01
5288,airfresh,1,0.01
5289,moisturizer,1,0.01
5290,paperes,1,0.01
5291,wallvents,1,0.01
5292,magazinee,1,0.01
5293,glassbrickdivider,1,0.01
5294,stripinfloor,1,0.01
5295,peiceoffurniture,1,0.01
5296,stripeinfloor,1,0.01
5297,tabletopandbase,1,0.01
5298,floortowallmolding,1,0.01
5299,openwall,1,0.01
5300,wallledge,1,0.01
5301,musicroom,1,0.01
5302,frontoftable,1,0.01
5303,colums,1,0.01
5304,booktrolley,1,0.01
5305,bookshelf/decoration,1,0.01
5306,verticleblind,1,0.01
5307,wallbench,1,0.01
5308,verticalblind,1,0.01
5309,booksself,1,0.01
5310,sofaleg,1,0.01
5311,wallwoodwork,1,0.01
5312,glare,1,0.01
5313,cardcatalogue,1,0.01
5314,cardcatalog,1,0.01
5315,airvents,1,0.01
5316,exitofroom,1,0.01
5317,trashorrecycling,1,0.01
5318,thermoustat,1,0.01
5319,recycle],1,0.01
5320,pricetake,1,0.01
5321,darkroom,1,0.01
5322,corridor,1,0.01
5323,lampo,1,0.01
5324,cornertable,1,0.01
5325,floorelectricaloutlet,1,0.01
5326,outloet,1,0.01
5327,windowsill/protrudingwall,1,0.01
5328,wallnearlining,1,0.01
5329,leftwindow,1,0.01
5330,wallside,1,0.01
5331,leftcorner,1,0.01
5332,smallborder,1,0.01
5333,rightwallside,1,0.01
5334,rightwindow,1,0.01
5335,majorwall,1,0.01
5336,walllining,1,0.01
5337,thickborder,1,0.01
5338,rightcorner,1,0.01
5339,smalllining,1,0.01
5340,cushionalcove,1,0.01
5341,descriptiveplaque,1,0.01
5342,blacklounger,1,0.01
5343,airconditioner/heater,1,0.01
5344,blackbaseboard,1,0.01
5345,brownbaseboard,1,0.01
5346,tabke',1,0.01
5347,decorativewall,1,0.01
5348,workmat,1,0.01
5349,woodcover,1,0.01
5350,bookscupboard,1,0.01
5351,woodsupport,1,0.01
5352,bookshelflabel,1,0.01
5353,supportingwall,1,0.01
5354,woodenchairleg,1,0.01
5355,monitorbacking,1,0.01
5356,airshofa,1,0.01
5357,tanfloor,1,0.01
5358,steelbarrier,1,0.01
5359,returnbox,1,0.01
5360,firegas,1,0.01
5361,laminatefloor,1,0.01
5362,waterfountaindrain,1,0.01
5363,tapeforwallnote,1,0.01
5364,waterfountainlogoplate,1,0.01
5365,sit,1,0.01
5366,audiojack,1,0.01
5367,wallcutout,1,0.01
5368,error,1,0.01
5369,firecylinder,1,0.01
5370,deskdoor,1,0.01
5371,ocilliscope,1,0.01
5372,fumehood,1,0.01
5373,legsandfeel,1,0.01
5374,sodas,1,0.01
5375,print,1,0.01
5376,mist,1,0.01
5377,meetingroom,1,0.01
5378,snakesbox,1,0.01
5379,workspacewall,1,0.01
5380,workingtable,1,0.01
5381,hungclothes,1,0.01
5382,cabinpartition,1,0.01
5383,beerow,1,0.01
5384,computerworkstation,1,0.01
5385,upperlevel,1,0.01
5386,glassceiling,1,0.01
5387,dishsoapandhandsoap,1,0.01
5388,handsoapdispenser,1,0.01
5389,coffecreamer,1,0.01
5390,computermonitors,1,0.01
5391,acpowerplug,1,0.01
5392,televisino,1,0.01
5393,movieequipment,1,0.01
5394,drivingchamber,1,0.01
5395,windowstillunit,1,0.01
5396,computertower-harddrive,1,0.01
5397,emergencyeyewashstation,1,0.01
5398,announcement,1,0.01
5399,fountain,1,0.01
5400,hydrant,1,0.01
5401,fakeflower,1,0.01
5402,electricchord,1,0.01
5403,filingfolder,1,0.01
5404,filingcontainers,1,0.01
5405,filingshelf,1,0.01
5406,documentscanner,1,0.01
5407,wideprinter,1,0.01
5408,p,1,0.01
5409,walllampshadow,1,0.01
5410,floorcolorstone,1,0.01
5411,ceilingroof,1,0.01
5412,decorativepiece,1,0.01
5413,refidgerator,1,0.01
5414,plaques,1,0.01
5415,smallbookshelf,1,0.01
5416,metaltray,1,0.01
5417,miscellaneousitems,1,0.01
5418,wallornament,1,0.01
5419,microwaveplug,1,0.01
5420,squarebucket,1,0.01
5421,welcomemat,1,0.01
5422,brickdesignedwall,1,0.01
5423,insidefloor,1,0.01
5424,aladyphoto,1,0.01
5425,insideglassdoor,1,0.01
5426,equipmentphoto,1,0.01
5427,somelettersonglass,1,0.01
5428,amanphoto,1,0.01
5429,noticeboarde,1,0.01
5430,wastepin,1,0.01
5431,noticeborde,1,0.01
5432,grasspot,1,0.01
5433,purpledryerasemarker,1,0.01
5434,greendryerasemarker,1,0.01
5435,indicator,1,0.01
5436,cablecover#,1,0.01
5437,keyboard#,1,0.01
5438,outlet#,1,0.01
5439,walloutlet#,1,0.01
5440,computerset,1,0.01
5441,anotherdesk,1,0.01
5442,keyholes,1,0.01
5443,pileofpapers,1,0.01
5444,drawer/shelf,1,0.01
5445,fancoilunit,1,0.01
5446,officelabel,1,0.01
5447,filedrop-off,1,0.01
5448,smallpaper,1,0.01
5449,fireoff,1,0.01
5450,lockerroom,1,0.01
5451,schoolfountainwater,1,0.01
5452,shrubbery,1,0.01
5453,flooe,1,0.01
5454,cornerguard,1,0.01
5455,chgair,1,0.01
5456,firelogs,1,0.01
5457,chairhead,1,0.01
5458,mediainstrument,1,0.01
5459,decorativephotograph,1,0.01
5460,kickpannel,1,0.01
5461,informationcard,1,0.01
5462,slashboard,1,0.01
5463,instructioncard,1,0.01
5464,treeleafs,1,0.01
5465,boxofcup,1,0.01
5466,cabinetpanel,1,0.01
5467,lightgrayfloor,1,0.01
5468,darkgrayfloor,1,0.01
5469,treesteam,1,0.01
5470,waterpitcher,1,0.01
5471,wholetree,1,0.01
5472,coffeecabinet,1,0.01
5473,carpetprotecter,1,0.01
5474,drawerinsert,1,0.01
5475,cornerback,1,0.01
5476,journals,1,0.01
5477,workpromotions,1,0.01
5478,basen,1,0.01
5479,washinbasen,1,0.01
5480,washing,1,0.01
5481,meterial,1,0.01
5482,sofaseat,1,0.01
5483,bottomofbench,1,0.01
5484,chalkboardsupplies,1,0.01
5485,chesstimer,1,0.01
5486,blackboarderaser,1,0.01
5487,emptybookshelfrack,1,0.01
5488,firealarmswitch,1,0.01
5489,cupdispenser,1,0.01
5490,powerregulator,1,0.01
5491,wallcabinetwindow,1,0.01
5492,garbageplasticbag,1,0.01
5493,dispenserbrand,1,0.01
5494,walldriver,1,0.01
5495,airfreshiner,1,0.01
5496,despenser,1,0.01
5497,sinkdrainpipe,1,0.01
5498,heatervents,1,0.01
5499,reflectiongarbagecan,1,0.01
5500,paintedupperwall,1,0.01
5501,windowreflection,1,0.01
5502,wallheater,1,0.01
5503,bathroomdividerwall,1,0.01
5504,airfreshenerspray,1,0.01
5505,maintenancedoor,1,0.01
5506,toiletrolldispenser,1,0.01
5507,vinylwallmolding,1,0.01
5508,metaldoor,1,0.01
5509,tupeprwarebin,1,0.01
5510,doorkickplate,1,0.01
5511,vinylwallbase,1,0.01
5512,woodentile,1,0.01
5513,liftoption,1,0.01
5514,securityalarm,1,0.01
5515,comptuerchair,1,0.01
5516,computerconsole,1,0.01
5517,organizingstructure,1,0.01
5518,plugreceptacle,1,0.01
5519,televistion,1,0.01
5520,leatherbench,1,0.01
5521,sittingcouch,1,0.01
5522,plinth,1,0.01
5523,statuehead,1,0.01
5524,handicapsign,1,0.01
5525,revolvingdoor,1,0.01
5526,sealing,1,0.01
5527,supportstructor,1,0.01
5528,letteronwall,1,0.01
5529,pillarwall,1,0.01
5530,cushan,1,0.01
5531,adjacentroom,1,0.01
5532,officeinterior,1,0.01
5533,wallplacardwithroomnumber,1,0.01
5534,fireextinguisheraccesspanel,1,0.01
5535,dooranddoorframe,1,0.01
5536,windowsticker,1,0.01
5537,windowwithwoodenframe,1,0.01
5538,doorways,1,0.01
5539,",magazine",1,0.01
5540,softchair,1,0.01
5541,gens,1,0.01
5542,deskoutlet,1,0.01
5543,morechairs,1,0.01
5544,officecarpet,1,0.01
5545,blue/wall,1,0.01
5546,conferencetableandchairs,1,0.01
5547,cps,1,0.01
5548,loft,1,0.01
5549,monitorscreen,1,0.01
5550,microwavekeypad,1,0.01
5551,microwavewindow,1,0.01
5552,stainlesssteelcupdispenser,1,0.01
5553,sprayattachment,1,0.01
5554,faucethead,1,0.01
5555,microwavedisplay,1,0.01
5556,slippery,1,0.01
5557,waterdispensebutton,1,0.01
5558,soapwindow,1,0.01
5559,papertrash,1,0.01
5560,waterdispenseportal,1,0.01
5561,showfa,1,0.01
5562,couchcushions,1,0.01
5563,newspaperstack,1,0.01
5564,laserjetprinter,1,0.01
5565,table],1,0.01
5566,stonesupport,1,0.01
5567,wallportrait,1,0.01
5568,legofachair,1,0.01
5569,laserprinter(black&white),1,0.01
5570,announcements,1,0.01
5571,laserprinter(color),1,0.01
5572,mailcrate,1,0.01
5573,stackofbooklet,1,0.01
5574,stackofmagazines,1,0.01
5575,resesrchmaterial,1,0.01
5576,despencer,1,0.01
5577,tifani,1,0.01
5578,mailslot,1,0.01
5579,cristalwindow,1,0.01
5580,cristlawindow,1,0.01
5581,table2+,1,0.01
5582,dooeknob,1,0.01
5583,ma,1,0.01
5584,fridgehandle,1,0.01
5585,cleanwipes,1,0.01
5586,microwavesafetop,1,0.01
5587,juicedispenser,1,0.01
5588,2awll,1,0.01
5589,collapsabletable,1,0.01
5590,pongpaddle,1,0.01
5591,sugardispenser,1,0.01
5592,stackpapercups,1,0.01
5593,kitchencabinetdoor,1,0.01
5594,creamerdispenser,1,0.01
5595,jarhoney,1,0.01
5596,bottledishsoap,1,0.01
5597,paintedtube,1,0.01
5598,deskbotom,1,0.01
5599,shoe?,1,0.01
5600,paintedpipes,1,0.01
5601,compartementwall,1,0.01
5602,ethernetsocket,1,0.01
5603,lightsocket,1,0.01
5604,metalchairs,1,0.01
5605,foldingsign,1,0.01
5606,grabbar,1,0.01
5607,metalhandel,1,0.01
5608,aluminiumframe,1,0.01
5609,wardrops,1,0.01
5610,stonematerial,1,0.01
5611,caret,1,0.01
5612,woodencolumn,1,0.01
5613,ook,1,0.01
5614,wallseatingarea,1,0.01
5615,tigersculpture,1,0.01
5616,rightwindowofdoubledoor,1,0.01
5617,displaycaseframe,1,0.01
5618,pianobase,1,0.01
5619,leftwindowofdoubledoor,1,0.01
5620,usflag,1,0.01
5621,closecolumn,1,0.01
5622,sculture'sbase,1,0.01
5623,reflectionofpaneledwall,1,0.01
5624,farcolumn,1,0.01
5625,handicapbar,1,0.01
5626,stallseparator,1,0.01
5627,papertowldispenser,1,0.01
5628,networkwallport,1,0.01
5629,electricalconduit,1,0.01
5630,thrashcan,1,0.01
5631,electricalbar,1,0.01
5632,bookcart,1,0.01
5633,paperboard,1,0.01
5634,poll,1,0.01
5635,tolietpaper,1,0.01
5636,desk&chair,1,0.01
5637,wallmountedfixture,1,0.01
5638,steptread,1,0.01
5639,banisterrail,1,0.01
5640,fireextingisher,1,0.01
5641,carpetfloors,1,0.01
5642,hardwoodfloors,1,0.01
5643,antibacterialwipes,1,0.01
5644,skull,1,0.01
5645,countertoprange,1,0.01
5646,coffeestirrers,1,0.01
5647,dishsoapbottle,1,0.01
5648,dishwashingliquid,1,0.01
5649,paperglass,1,0.01
5650,dresserfront,1,0.01
5651,dresserside,1,0.01
5652,foldingchairstoragerack,1,0.01
5653,bustsculpture,1,0.01
5654,foldingchairs,1,0.01
5655,list,1,0.01
5656,desktoporganizer,1,0.01
5657,blackarmchairs,1,0.01
5658,stone/cementfloor,1,0.01
5659,brownarmchair,1,0.01
5660,moonglobe,1,0.01
5661,flooroutletcover,1,0.01
5662,pannel,1,0.01
5663,roomnumberplate,1,0.01
5664,handleforemergencywashsystem,1,0.01
5665,emergencywashsystem,1,0.01
5666,metalstoragelockers,1,0.01
5667,tackboard,1,0.01
5668,secondceilinglight,1,0.01
5669,4thdvdplayer,1,0.01
5670,largetv,1,0.01
5671,2ndairvent,1,0.01
5672,dvdorvcrplayer,1,0.01
5673,sideoftv,1,0.01
5674,furnituresign,1,0.01
5675,smallertv,1,0.01
5676,lowtvstand,1,0.01
5677,largebookcase,1,0.01
5678,2nddvdplayer,1,0.01
5679,3rddvdplayer,1,0.01
5680,greencoat,1,0.01
5681,flowerdecoration,1,0.01
5682,bluecoat,1,0.01
5683,purplecoat,1,0.01
5684,pinkandyellowcoat,1,0.01
5685,florescentlight,1,0.01
5686,clearancesalesign,1,0.01
5687,deskshelfcombo,1,0.01
5688,deskdrawerhandle,1,0.01
5689,shelfrack,1,0.01
5690,florarlarrangement,1,0.01
5691,woodfurniturre,1,0.01
5692,ceilingtiles,1,0.01
5693,whitebedframe,1,0.01
5694,leftblackchair,1,0.01
5695,roundtablechair,1,0.01
5696,topdeskdrawer,1,0.01
5697,rightblackchair,1,0.01
5698,bottomdeskdrawer,1,0.01
5699,brownheadboard,1,0.01
5700,desktopside,1,0.01
5701,middledeskdrawer,1,0.01
5702,whole,1,0.01
5703,table&chairs,1,0.01
5704,tableset,1,0.01
5705,bedposts,1,0.01
5706,thingforbed,1,0.01
5707,greennote,1,0.01
5708,flowercenterpeice,1,0.01
5709,sidwalk,1,0.01
5710,outsidetree,1,0.01
5711,pricered,1,0.01
5712,outsidegreen,1,0.01
5713,truck,1,0.01
5714,blanketrack,1,0.01
5715,flowerbase,1,0.01
5716,doublebed,1,0.01
5717,colorswatchesfordresser,1,0.01
5718,drawerscabinet,1,0.01
5719,cipboard,1,0.01
5720,cup&plate,1,0.01
5721,wallpeace,1,0.01
5722,compote,1,0.01
5723,boo,1,0.01
5724,floralarrangement,1,0.01
5725,largepicture,1,0.01
5726,sidechair,1,0.01
5727,2ndchairback,1,0.01
5728,3rdchairback,1,0.01
5729,2ndfloralarrangement,1,0.01
5730,matchingdiningchair,1,0.01
5731,pricedisplay,1,0.01
5732,framedpainting,1,0.01
5733,2chair,1,0.01
5734,chairsanddesk,1,0.01
5735,shelfcompartments,1,0.01
5736,lowerlevelfloor,1,0.01
5737,flower',1,0.01
5738,cabinetstorage,1,0.01
5739,lampsupport,1,0.01
5740,randomscabinetstuff,1,0.01
5741,roomsuport,1,0.01
5742,glsswall,1,0.01
5743,bedchair,1,0.01
5744,kupboard,1,0.01
5745,chase-lounge,1,0.01
5746,dresser-vanity,1,0.01
5747,store,1,0.01
5748,colum,1,0.01
5749,reflectionofmirror,1,0.01
5750,bedrail,1,0.01
5751,ceilign,1,0.01
5752,fauxwall,1,0.01
5753,mattressrack,1,0.01
5754,secondwall,1,0.01
5755,cylindricalpillow,1,0.01
5756,caut,1,0.01
5757,cupboaard,1,0.01
5758,longdresser,1,0.01
5759,comforteronmattress,1,0.01
5760,pendantlight,1,0.01
5761,ceilingcolumn,1,0.01
5762,accentchair,1,0.01
5763,prcetag,1,0.01
5764,neckrollpillow,1,0.01
5765,boaster,1,0.01
5766,chestpricetag,1,0.01
5767,dresseradvertisment,1,0.01
5768,firealarmsiren,1,0.01
5769,firepullalarm,1,0.01
5770,dresserpricetag,1,0.01
5771,pinkheadboard,1,0.01
5772,blackheadboard,1,0.01
5773,roiundpillow,1,0.01
5774,partialpicture,1,0.01
5775,rightmirror,1,0.01
5776,designerblanket,1,0.01
5777,middlemirror,1,0.01
5778,partialdoorway,1,0.01
5779,bathroomsign,1,0.01
5780,partialwalloutlet,1,0.01
5781,hiddenstand,1,0.01
5782,floordecal,1,0.01
5783,coverblanket,1,0.01
5784,leftmirror,1,0.01
5785,chaiselounge,1,0.01
5786,pinkpillow,1,0.01
5787,fullbed,1,0.01
5788,dogpicturegreen,1,0.01
5789,cylinderpillow,1,0.01
5790,yellowpillow,1,0.01
5791,whiteandbluepicture,1,0.01
5792,whiteandyellowpicture,1,0.01
5793,abstractpainting,1,0.01
5794,dogpictureyellow,1,0.01
5795,greenpillow,1,0.01
5796,dogpictureblue,1,0.01
5797,roundmirror,1,0.01
5798,labelsticker,1,0.01
5799,faketree,1,0.01
5800,winecabinet,1,0.01
5801,centerpieces,1,0.01
5802,sidepillar,1,0.01
5803,supportpillars,1,0.01
5804,sidepillars,1,0.01
5805,enternewobjectname,1,0.01
5806,worker,1,0.01
5807,celingwall,1,0.01
5808,wallmounttv,1,0.01
5809,sofacoushine,1,0.01
5810,decorativemirror,1,0.01
5811,5thchair,1,0.01
5812,3rdchair,1,0.01
5813,7thchair,1,0.01
5814,1stchair,1,0.01
5815,2ndchair,1,0.01
5816,signsupport,1,0.01
5817,6thchair,1,0.01
5818,4thchair,1,0.01
5819,ceilingstructure,1,0.01
5820,ceilingsturcture,1,0.01
5821,craft,1,0.01
5822,redcurainrack,1,0.01
5823,pillarlamp,1,0.01
5824,walldeco,1,0.01
5825,clayvase,1,0.01
5826,outdoorumbrella,1,0.01
5827,purplecouch,1,0.01
5828,woodenduck,1,0.01
5829,bedcoverlet,1,0.01
5830,doiningchair,1,0.01
5831,endofdresser,1,0.01
5832,smalldresser,1,0.01
5833,bartable,1,0.01
5834,rightsidedrawer,1,0.01
5835,artifacts,1,0.01
5836,vanitychestofdrawers,1,0.01
5837,quiltset,1,0.01
5838,conforter,1,0.01
5839,soccerpicture,1,0.01
5840,lockerroomposter,1,0.01
5841,basketballpicture,1,0.01
5842,dressor,1,0.01
5843,almira,1,0.01
5844,dresserandmirror,1,0.01
5845,paint,1,0.01
5846,tabledecoritem,1,0.01
5847,wooddresser,1,0.01
5848,rugorcarpet,1,0.01
5849,woodenbedframe,1,0.01
5850,woodpanelflooring,1,0.01
5851,decorationpiece,1,0.01
5852,picture.,1,0.01
5853,lamp.,1,0.01
5854,tsg,1,0.01
5855,tag.,1,0.01
5856,deskcumtable,1,0.01
5857,wallmatt,1,0.01
5858,art?,1,0.01
5859,vet,1,0.01
5860,rightdeskdrawer,1,0.01
5861,blackdeskchair#,1,0.01
5862,blackfurniture,1,0.01
5863,browndesk#1tag,1,0.01
5864,browndesk#,1,0.01
5865,pairofbluedecorativevases,1,0.01
5866,hutchtag,1,0.01
5867,ceilinginbackground,1,0.01
5868,browndesk#3chair,1,0.01
5869,browndesk#3tag,1,0.01
5870,leftdeskdrawer,1,0.01
5871,greendecorativevase#,1,0.01
5872,shortbookcase,1,0.01
5873,pillar#,1,0.01
5874,curioshelves,1,0.01
5875,blackdeskchair,1,0.01
5876,rollingchairtag,1,0.01
5877,tallbookcase,1,0.01
5878,blackdesk#,1,0.01
5879,sofa#,1,0.01
5880,legsofbrowndesk#3chair,1,0.01
5881,lamp#,1,0.01
5882,browndesktag#,1,0.01
5883,browndesk#2tag,1,0.01
5884,usapillow,1,0.01
5885,shortbookcasetag,1,0.01
5886,sideboardtag,1,0.01
5887,fancyjar,1,0.01
5888,decorativecar,1,0.01
5889,nickknack,1,0.01
5890,frames,1,0.01
5891,flowerbugge,1,0.01
5892,decorative,1,0.01
5893,caght,1,0.01
5894,wallskonce,1,0.01
5895,nicnac,1,0.01
5896,suv,1,0.01
5897,tablewithcloth,1,0.01
5898,miscfurniture,1,0.01
5899,flowerwager,1,0.01
5900,headboardforbed,1,0.01
5901,samples,1,0.01
5902,displayfixture,1,0.01
5903,hangar,1,0.01
5904,samplebinder,1,0.01
5905,miscellaneouswikerandstuff,1,0.01
5906,miscellaneousindistinguishableitems,1,0.01
5907,fancyitems,1,0.01
5908,monkey,1,0.01
5909,coushin,1,0.01
5910,pampazhanloveseat,1,0.01
5911,giraffe,1,0.01
5912,ullan,1,0.01
5913,bluethrow,1,0.01
5914,throwblankeyteal,1,0.01
5915,sofatable,1,0.01
5916,twopurpleblankets,1,0.01
5917,giraffestatue,1,0.01
5918,decorpillow,1,0.01
5919,ceilin,1,0.01
5920,chiminea,1,0.01
5921,stackedpapisonchair,1,0.01
5922,wickerbox,1,0.01
5923,bluedecorpillow,1,0.01
5924,darkblueblanket,1,0.01
5925,darkthrowblanket,1,0.01
5926,shelvingdisplay,1,0.01
5927,bluethrowpillow,1,0.01
5928,throwblankeypurple,1,0.01
5929,smallottoman,1,0.01
